"","Mittelwert","CI (unten)","CI (oben)","Name","Fraktion","Kommission"
"1720",-9.79562924533967,-12.1031982934106,-7.90539740061453,"Tornare Manuel","S","WAK"
"1721",-9.77357831199001,-12.0531083458848,-7.8876836693767,"Semadeni Silva","S","WAK"
"1722",-9.76247685609922,-12.1492857027056,-7.77019274396229,"Pardini Corrado","S","WAK"
"1723",-9.71572084300525,-11.9279742607012,-7.86052245675237,"Fridez Pierre-Alain","S","WAK"
"1724",-9.57054063360353,-11.7782408250218,-7.73818254376225,"de la Reussille Denis","G","WAK"
"1725",-9.55558056856907,-11.7088121855053,-7.72359623121605,"Reynard Mathias","S","WAK"
"1726",-9.31668161163248,-11.5949756135769,-7.41590679783672,"Badran Jacqueline","S","WAK"
"1727",-9.08409972109647,-11.2108867914804,-7.27044846205101,"Rytz Regula","G","WAK"
"1728",-8.99126892015901,-11.776347964665,-6.67658784901799,"Schneider Sch\""uttel Ursula","S","WAK"
"1729",-8.96902272060718,-10.9026785168641,-7.34068907559608,"Arslan Sibel","G","WAK"
"1730",-8.71433624490797,-10.5862950941842,-7.1903768011428,"Gl\""attli Balthasar","G","WAK"
"1731",-8.49100770596176,-10.222451538225,-7.00871977819105,"Schelbert Louis","G","WAK"
"1732",-8.38268446448506,-10.1609657269254,-6.89737655680945,"Mazzone Lisa","G","WAK"
"1733",-8.18739696704172,-9.91091424867583,-6.73485772896544,"Fricker Jonas","G","WAK"
"1734",-8.09339670531374,-10.8965882437701,-5.84133262797564,"Bendahan Samuel","S","WAK"
"1735",-8.0789711612662,-9.67253338882271,-6.6554214006103,"Graf Maya","G","WAK"
"1736",-8.00825805677581,-10.4451765967913,-5.96116288406423,"Steiert Jean-Fran\c cois","S","WAK"
"1737",-7.82580168052033,-9.38246968204406,-6.45255788579912,"H\""asler Christine","G","WAK"
"1738",-7.58944932910998,-9.0308438402552,-6.29038255103106,"Girod Bastien","G","WAK"
"1739",-7.30723314252978,-8.71862333212064,-6.08448883629305,"Thorens Goumaz Ad\`ele","G","WAK"
"1740",-6.69586555281339,-7.92734805024296,-5.60502166363851,"Br\'elaz Daniel","G","WAK"
"1741",-5.31287133355166,-5.79878450397629,-4.83166391227614,"Nordmann Roger","S","WAK"
"1742",-4.28237395011977,-5.09977556797668,-3.52744381162411,"Streiff-Feller Marianne","C","WAK"
"1743",-4.16191257148135,-7.81702995581988,-0.99642010613025,"K\""alin Ir\`ene","G","WAK"
"1744",-4.10478818433699,-4.904001447366,-3.32990372710391,"Ingold Maja","C","WAK"
"1745",-3.78615904867625,-7.51754467213843,-0.393843599887097,"Jositsch Daniel","S","WAK"
"1746",-1.51955122222298,-2.1533873801998,-0.903722628660065,"Moser Tiana Angelina","GL","WAK"
"1747",-1.4509403831103,-2.10341182954669,-0.80383814464124,"Bertschy Kathrin","GL","WAK"
"1748",-1.37736715582787,-1.9668572621191,-0.793567230236457,"Flach Beat","GL","WAK"
"1749",-1.31640724990806,-1.91726868080736,-0.722976249364299,"Weibel Thomas","GL","WAK"
"1750",-1.31519937010202,-4.70681362003616,1.74010360473648,"Gugger Niklaus-Samuel","C","WAK"
"1751",-1.20671021692922,-1.82123278536857,-0.605294788097007,"Chevalley Isabelle","GL","WAK"
"1752",-1.19621105003205,-1.80345577372102,-0.601170681039431,"Grossen J\""urg","GL","WAK"
"1753",-1.0014521127272,-1.6799136595644,-0.352063086316859,"B\""aumle Martin","GL","WAK"
"1754",-0.779138482150984,-1.67572963419929,0.10637833896693,"Siegenthaler Heinz","BD","WAK"
"1755",-0.550678743751536,-1.15077997498056,0.0469908248122799,"Riklin Kathy","C","WAK"
"1756",-0.351916285576861,-0.949334130695515,0.232341494078574,"Schmid-Federer Barbara","C","WAK"
